conversation_id,verdict,gio_mode,criteria_a,criteria_b,criteria_c,criteria_d,reject_reasons
10ac2ee41788dc13552cd7b6f68462bb,ACCEPT,1.3,PASS,PASS,PASS,PASS,
0ffba952a42454d2cd9d309f06ad8b33,ACCEPT,1.3,PASS,PASS,PASS,PASS,
563c8eaf4ec9e25da42ad96ab05d55a0,ACCEPT,1.3,PASS,PASS,PASS,PASS,
b6af1588b9269fa70643e69f3c59d5a9,ACCEPT,1.3,PASS,PASS,PASS,PASS,
ba47b377368ee51334bb57ab15ea0b59,EDGE_CASE,1.1,PASS,PASS,FAIL,PASS,Borderline factual question; answer about which ear for one earbud is more factual than advisory
08079dcfac851a0569743c17178c764c,ACCEPT,1.3,PASS,PASS,PASS,PASS,
165a28d0a63e41eea4ebb1b22ba826a9,ACCEPT,1.3,PASS,PASS,PASS,PASS,
c61f2699b31063e059225bcf26e97705,ACCEPT,1.3,PASS,PASS,PASS,PASS,
3e86a2d9a2a0ad2db44ebb43241d2a29,ACCEPT,1.3,PASS,PASS,PASS,PASS,
07ee78c7dad98147768a4755deb7c5c4,ACCEPT,1.3,PASS,PASS,PASS,PASS,
49dc94dcc3479f01a7d42c286a00bfd6,ACCEPT,1.3,PASS,PASS,PASS,PASS,
4fb719f4a871f0fae487d4e5a31b9106,ACCEPT,1.3,PASS,PASS,PASS,PASS,
5ff05059a55aae651cffb388a174691f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
240485e8bc01d6aa6cb2b140b310c57b,ACCEPT,1.3,PASS,PASS,PASS,PASS,
a265174a6aa3df66373ba84aecda7257,ACCEPT,1.3,PASS,PASS,PASS,PASS,
ab7ade6f566eb483f1bf7aecc6f60f97,ACCEPT,1.3,PASS,PASS,PASS,PASS,
7bfbd7258d4cfe3a7e4b86f4d94548e0,ACCEPT,1.3,PASS,PASS,PASS,PASS,
e09e41d6d745d4ddc09c6fdde56f1a63,REJECT,2.1,PASS,FAIL,FAIL,PASS,Primary task is grammar correction (Utility 2.1) not advisory
655d72f27a802c17b7b515f9be8abeff,REJECT,2.3,FAIL,FAIL,FAIL,PASS,References external email thread; primary task is drafting a reply (Grounded Generation 2.3) not advisory
fc9ee7f77d687d017f2d2403d7d33993,ACCEPT,1.3,PASS,PASS,PASS,PASS,
f771a8d651c9e01006e4e73bad067686,ACCEPT,1.3,PASS,PASS,PASS,PASS,
4123b7448021f0594780459ded61c56f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
d7ca0e9475f3766babc483069c4e7a0e,REJECT,2.2,PASS,FAIL,FAIL,PASS,Creative fiction/roleplay continuation not advisory
450c279bacdff3dca3f6cc1840f8a7c5,ACCEPT,1.3,PASS,PASS,PASS,PASS,
766f635890de6dbd3343a13f069e0797,REJECT,1.1,PASS,FAIL,FAIL,PASS,Factual quantity question about cooking measurement not advisory
bb4554bf95143b6757f8e5209eb8b398,EDGE_CASE,1.3,PASS,PASS,PASS,PASS,Technically opinion-seeking but very trivial/joke-like prompt
49eb9c9433d05c5c095cfae3c41ae846,ACCEPT,1.3,PASS,PASS,PASS,PASS,
3ee45ff97e537fe85333c603dd0cb43f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
57511b93b19b19118397a1d38e5b48c2,ACCEPT,1.3,PASS,PASS,PASS,PASS,
fd1495195bf3cc3cb3fc32763703150d,REJECT,2.2,PASS,FAIL,FAIL,PASS,Primary task is to write an email to doctor team (generation) not advisory
3db7f4cf383e07adeae51c0cb788f477,ACCEPT,1.3,PASS,PASS,PASS,PASS,
378b5bed8d1faf401cadb730d703532a,ACCEPT,1.3,PASS,PASS,PASS,PASS,
06a2432314b5800aceffb0a81c1fe1df,ACCEPT,1.3,PASS,PASS,PASS,PASS,
16a39e298f23ee91e931f03367c94675,ACCEPT,1.3,PASS,PASS,PASS,PASS,
0852f0064f248ea3124b1ea42f110f2d,REJECT,2.1,PASS,FAIL,FAIL,PASS,Translation task (Utility 2.1) not advisory
c57d522af877a6e573a43b47b7ef3f80,ACCEPT,1.3,PASS,PASS,PASS,PASS,
2bfed03c62f4b1b1b84b0750a7c85143,ACCEPT,1.3,PASS,PASS,PASS,PASS,
913e7bceb450d8290e5e0e2f37312024,ACCEPT,1.3,PASS,PASS,PASS,PASS,
7f8653aca97aa6537092c646ccee9105,REJECT,2.2,PASS,FAIL,FAIL,PASS,Creative fiction/roleplay continuation not advisory
74df5e62ec88f6deea122a3eaee596a3,ACCEPT,1.3,PASS,PASS,PASS,PASS,
2fe08a471d05b2b23c78064a996a59be,ACCEPT,1.3,PASS,PASS,PASS,PASS,
dcc3e5ed044f6a0e8a5afe664c4c7b91,REJECT,2.2,PASS,FAIL,FAIL,PASS,Travel guide content generation task not advisory
413de48d40095e4ad4be9675c9e06404,ACCEPT,1.3,PASS,PASS,PASS,PASS,
03659486814990d2aaebd53896ba55da,ACCEPT,1.3,PASS,PASS,PASS,PASS,
3288ab3671c06e86adbd9b4717e202c3,ACCEPT,1.3,PASS,PASS,PASS,PASS,
951af5c5cf7acadff792fafe7db60312,ACCEPT,1.3,PASS,PASS,PASS,PASS,
e37db20a7e5c5ad54a5f98ee88423d67,ACCEPT,1.3,PASS,PASS,PASS,PASS,
1257cb78d71a35199c8b367b969ffdb6,EDGE_CASE,1.3,PASS,PASS,PASS,PASS,Partly advisory (what should I do) but also asks to generate a training program (2.2)
36ef9ec4304960a8d91d9824efcacbae,EDGE_CASE,1.3,PASS,PASS,PASS,PASS,Technically opinion-seeking but extremely trivial prompt about fried chicken
a086c98970e253f4cd0b1e7fb0b9514e,ACCEPT,1.3,PASS,PASS,PASS,PASS,
7ea5728b83a55c1d7eda5def0f2a0a86,REJECT,2.3,PASS,FAIL,FAIL,PASS,Primary task is editing an email (Grounded Generation 2.3) not advisory
f955e20f8d9659d4c0235fdbf85ffeb2,ACCEPT,1.3,PASS,PASS,PASS,PASS,
d97acdbf3284a1b05ebcdaff25829963,REJECT,1.3,FAIL,FAIL,FAIL,PASS,References previous conversation; meta-question about conversation state not advisory
7482c2f9b84729ed7b14e084efe0541c,ACCEPT,1.3,PASS,PASS,PASS,PASS,
3c299914b53dab1c038d83a091ce56f4,ACCEPT,1.3,PASS,PASS,PASS,PASS,
f88a6decb6805657aa4264755124e20e,ACCEPT,1.3,PASS,PASS,PASS,PASS,
a49ddb07558e58fcac9965c0e2e3d624,REJECT,2.2,PASS,FAIL,FAIL,PASS,Roleplay/persona request (act as gaslighter) not advisory
4c1c2c7c72aa0d9c21b6ea5a73db668f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
af23471c5e405e90c0a7323f5b1dd87d,REJECT,2.2,PASS,FAIL,FAIL,PASS,Travel guide content generation task not advisory
f94e0776d65f3e3efc5d3bb16e1c762f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
5d2d39ee2e2f27818699578b61f4fc9f,ACCEPT,1.3,PASS,PASS,PASS,PASS,
a7ec85e119232880fc2c986884c333ac,ACCEPT,1.3,PASS,PASS,PASS,PASS,
7b4e2111edb42117e60c43324b5cea3e,REJECT,2.2,PASS,FAIL,FAIL,PASS,Travel guide content generation task not advisory
e602b769d6cea9dacd4a04e0b7dda820,ACCEPT,1.3,PASS,PASS,PASS,PASS,
