conversation_id,verdict,mode,failed_criteria,reason
632b5da64f82377358c8069c4a2c4ad7,REJECT,2.1,c,Drafting email reply is utility task; not executing a transaction
be2989691cd25c4bb24da7e778782cab,REJECT,2.1,c,Drafting professional email reply is utility; not a transaction
474b244b33edc90777b5b630c6a24d6d,REJECT,2.1,c,Writing a cancellation email is utility; not executing cancellation
a2390cb09c8bd3e0a887ea357a148a0c,REJECT,1.3,c,Asking how to advertise a room; advisory not transactional
537bc993ee9a7ef5e5ca869906bd5e07,REJECT,1.3,c,Asking if motorcycle is safe to ride; advisory not a purchase
71bd354bad7f1b36e92859eb8cbc590c,REJECT,2.1,c,Narrating cancellation desire to AI; AI cannot execute contract cancellation
502bafb05502d3373315bd7c79b5c216,REJECT,1.3,c,Asking for AC recommendation; advisory not a purchase action
cd27c0645375a63292a89428126ff418,ACCEPT,3.1,none,Direct room reservation request with specific requirements
9f60bb49fb9771c420e7af9e33319a84,REJECT,2.1,c,Drafting a business communication text; utility not transactional
be38bfa4f3892fb2446fe61a6724c785,REJECT,2.2,c,Creative roleplay about food ordering; not an actual order
0438dac9af7366335d58241584aafb92,REJECT,2.1,c,Drafting customer service reply email; utility not transactional
65baddb6a05fa1544bc0317cd09a8173,REJECT,2.1,c,Email text to be polished/refined; utility not transactional
1cb4511c8b65b05907e7da0f0a06876a,REJECT,1.3,c,Seeking bicycle type recommendation; advisory not a purchase
e5a9808614d70eac3dd636b57e24187a,REJECT,1.3,c,Seeking domain selection strategy advice; advisory not purchasing
5235d0c11c82e783ace787955b78e1b8,REJECT,1.1,c,Mortgage cost calculation; factual computation not a transaction
251ce87cf7c633259fe4f838c6fc9bd8,REJECT,1.3,c,Seeking pants type recommendation; advisory not a purchase
b1e5023dd3b17836367b808a27a054ea,REJECT,1.3,c,Seeking PC specification recommendation; advisory not buying
5929bfb93e949541ec6bb8ffe8b109df,REJECT,1.3,c,Seeking help choosing tiles; advisory not a purchase action
8af4f926f6cd277e27847b6afd1bf9e7,REJECT,2.2,c,Game tutorial design; in-game 'buy' not a real transaction
ceabe67a847b4f6772f5bacece4018f9,REJECT,1.3,c,Seeking monitor recommendations with analysis; advisory
