conversation_id,verdict,mode,failed_criteria,reason
47695fa3667bbc6586ea506798967a25,REJECT,2.2,c,Creative (write captions) but topic is furniture; not volatile
a829a892435bbf80af647880bdc7d38d,REJECT,1.1,b;c,Comparison request is factual; no creative verb; no volatile topic
dde64519343c0cf8ed237a3cd2804bd5,REJECT,2.1,a;c,References prior content (<strong> tag); expands existing text; not volatile
38ad1dcca8cd82bc9314809bf3114dea,REJECT,2.2,c,Creative (write blog post) but "earn money online" is evergreen; not volatile
633d5ec0b8b54c252fdedc8fa894b903,REJECT,2.1,a;c,References prior numbered section; expands existing content; not volatile
32a8ecf1fddea49e8639bf5759d073f0,REJECT,1.1,b;c,Medical imaging interpretation question; factual; not creative or volatile
82157bc0ff6dfbb74cc986df8692326c,EDGE_CASE,2.2,none,Creative (write hypotheses/design) on AI mass layoffs; volatile topic borderline
253cce27ccf02f36b149985ae5cbfef8,REJECT,2.1,b;c,Coding task (Python app); utility mode; not creative writing or volatile
e0d807748cffd7bee1ac9d1197b71795,REJECT,2.1,b;c,Coding task (HTML website); utility mode; not volatile
0be778420e1a243c16e896f20b08aabc,REJECT,2.2,c,Creative (brainstorm prompts) but topic is ice cream design; not volatile
686df9d4888939cc9570a5d8f5009d51,EDGE_CASE,2.2,none,Creative (write conversation) on diversity in games; mildly volatile social topic
18146835c1ccde6e3568ec82c5445179,REJECT,2.2,a;c,Bare instruction "draft an email" with no context; not standalone; not volatile
7512adf68cb4a55d91aa4681ffd445f0,REJECT,2.1,a;b;c,Meta-instruction for translation roleplay; needs follow-up input; not volatile
050ee107ad3bfb02619f870d051fcce0,REJECT,2.2,c,Creative (write essay) but topic is WWI child narrators; historical not volatile
a4c0df6ee3158e2611afd735a2facddb,REJECT,2.3,c,Write travel guide chapter; grounded generation; Athens food is not volatile
04069aac2526d8f4eceef638ff39fcd3,REJECT,2.2,c,Creative (write case study) but topic is fictional medical case; not volatile
bbce08723db7e6fba0094a34a3ac3a9a,REJECT,2.1,b;c,Generate Etsy title is utility/template task; not creative writing; not volatile
c8d409df15f5c9b8f6275d8712c37691,REJECT,2.1,a;c,References prior content section; expands existing text; not volatile
e6b08779c6fd55874a1b8053720d7c34,REJECT,2.2,c;d,Creative (write story) but topic not volatile; requests Turkish not English
1e5ed9ad6bb7842fa4fe2482e48cf345,REJECT,2.1,b;c,Generate SEO description is utility template; not creative writing; not volatile
ee9583a706de5bb4d64962344182f091,ACCEPT,2.2,none,Creative (write output/impact) on post-COVID-19 supply chain leadership; volatile
2fe87d64d088c98e10033da00a21e4b5,REJECT,2.1,b;c,Generate SEO description is utility template; not creative writing; not volatile
00f5e904e958c45f9c7aaed58cb80b85,REJECT,1.1,b;c,Math explanation task; factual; not creative or volatile
efb9f641dcc777223dbaa8c54611c8d4,REJECT,2.2,c,Creative (write story) but topic is Shrek comedy fiction; not volatile
8b8b385c5cac8a00b8b15204dbb9838f,REJECT,2.1,b;c,Write SWOT analysis from given data; utility transformation; not volatile
82bbcdc482b0ee6795583a7e984871b1,REJECT,1.1,b;c,Technical how-to question about Matlab; factual; not creative or volatile
6563318f3262c8ca6199aee9c228d8ac,REJECT,2.2,c,Creative (write email) but topic is internal corporate approvals; not volatile
a64a9ceaa2b8557153dac9cfe02b24b1,REJECT,2.1,b;c,Generate SEO description is utility template; not creative writing; not volatile
7bfd71b09decd1a0639f14093bd5ab0e,REJECT,2.2,c,Creative (write prompt) but meta-task about learning; not volatile topic
5c177cbb2581d265e5dec81d9f00bd71,REJECT,2.2,c,Creative (write story) but topic is sci-fi/magic fiction; not volatile
963aed2b9c9bff872cf85e31a508640d,REJECT,2.3,c,Write travel guide chapter; grounded generation; Madeira travel not volatile
e5355add216ece4b634ff4b1aeedc1d6,REJECT,2.2,c,Creative (write scenario) but alt-history WWI fiction; not currently volatile
124ff92fe94fd67c0ff62f105f99aaa0,REJECT,2.2,c,Creative (write story) but Overwatch fanfic; not volatile topic
49afd211108d647569b731ef7718b089,REJECT,2.2,c,Creative (write ebook chapter) but self-help topic; not volatile
88f6ec0e2d7584d061d62ba0ff5bd670,REJECT,2.2,c;d,Creative (write blog) but Truecaller app topic; requests Arabic output
f00b2c21d98f41047ee776471a66de92,EDGE_CASE,2.2,none,Creative (generate region) referencing Ukraine-Russia-Belarus border; geopolitically volatile
