conversation_id,verdict,gio_mode,criteria_a,criteria_b,criteria_c,criteria_d,reject_reasons
e3338a2124e324210e4bfc8f5c7d50aa,ACCEPT,2.2,PASS,PASS,PASS,PASS,
077bfea9b4618b359c61d05b5cd09d1a,ACCEPT,2.2,PASS,PASS,PASS,PASS,
eb0b0469d2d29ebabd3a8907cd2d39b1,REJECT,2.3,FAIL,PASS,PASS,PASS,References an interview and Lachman (2004) as external sources not provided inline
47e56b331a28c7a68181705c9b7f40ca,REJECT,2.2,PASS,PASS,FAIL,PASS,Contains temporal marker '2023' and 'current and up to date' making it time-bound
1d23ba72175606aa65dd88c78f2a00d0,ACCEPT,2.2,PASS,PASS,PASS,PASS,
7ecc5814d9b1cb6e3c86d36dac1ee4f4,REJECT,1.1,PASS,FAIL,PASS,PASS,Ambiguous between 1.1 fact retrieval and 2.2 generation; asks why plus requests APA references
6d5ba89b9778af2ff0a02a3a5aad8378,ACCEPT,2.2,PASS,PASS,PASS,PASS,
28801b983a24f4e5e83dbb8f545f9316,ACCEPT,2.2,PASS,PASS,PASS,PASS,
d802a1e833c25b72d570b09bdfe3c041,ACCEPT,2.2,PASS,PASS,PASS,PASS,
6d2938f58b1082865181fc571d3e017d,ACCEPT,2.2,PASS,PASS,PASS,PASS,
2fac312facefc5d4647f4f298677c876,ACCEPT,2.2,PASS,PASS,PASS,PASS,
5494ba487f231680d426df67002cb54f,ACCEPT,2.2,PASS,PASS,PASS,PASS,
97cf18d2e94873b1082bac36bbbb39ff,ACCEPT,1.1,PASS,PASS,PASS,PASS,
12da17bb39ddda9e5a075f3f30c49a32,ACCEPT,2.2,PASS,PASS,PASS,PASS,
b3d0858325c36a09e6bdd913f88fe9de,REJECT,2.3,FAIL,PASS,PASS,PASS,References chapters 3 and 4 of a specific book without providing content inline
938fb5c76dabfa82f8ccb71d5baca5c3,REJECT,1.1,PASS,FAIL,FAIL,PASS,Word 'recent' implies temporal relevance; ambiguous between 1.1 and 1.2
af28387304f3429d8337ca1e67e4336d,ACCEPT,2.1,PASS,PASS,PASS,PASS,
5c4c62b1b50aef57709aae17e6d2770f,ACCEPT,2.1,PASS,PASS,PASS,PASS,
decb6e24632add5538366d1cb4df0f43,ACCEPT,2.2,PASS,PASS,PASS,PASS,
6ad604cdffd864841db0e7ad7a96b861,ACCEPT,2.2,PASS,PASS,PASS,PASS,
8cd4ba87b1b2f3f634d3879185d8908e,REJECT,2.1,FAIL,PASS,PASS,PASS,Says 'words I'm about to provide' but no words are provided; references future input
ee2b43758513ba2046e52f288659b052,ACCEPT,1.1,PASS,PASS,PASS,PASS,
6933281c24361d5ebefd71a1e19611fb,ACCEPT,1.1,PASS,PASS,PASS,PASS,
b5e8fdeafdf1d71798094ced0f37827e,ACCEPT,2.2,PASS,PASS,PASS,PASS,
f455246880dbbdbc326af859894d4ee8,ACCEPT,2.2,PASS,PASS,PASS,PASS,
666640b390233635bb237909a25818df,ACCEPT,2.1,PASS,PASS,PASS,PASS,
ef671d8f6fe40c4a26d012fb4f07a4d7,ACCEPT,2.2,PASS,PASS,PASS,PASS,
e905fbf3a6a5a3aeed56bfe6a31cabb7,REJECT,2.2,PASS,FAIL,PASS,PASS,Requests image generation which cannot be clearly assigned to a text-based GIO mode
50a8fe424812ccd574805d0e65aaba1d,ACCEPT,1.1,PASS,PASS,PASS,PASS,
f236208f513c160a628c73216f0fb85b,REJECT,2.2,PASS,PASS,FAIL,PASS,Contains temporal marker '2023' and 'current and up to date' implying time-sensitive content
