prompt_id,column,rater_a,rater_b,prompt_text
P01,gio_mode,1.3,3.1,"write a short story about the future of chess. Set Top-p to 0.3, temperature to "
P01,i_gap,High,Medium,"write a short story about the future of chess. Set Top-p to 0.3, temperature to "
P01,e_spec,Low,High,"write a short story about the future of chess. Set Top-p to 0.3, temperature to "
P01,confidence,5,1,"write a short story about the future of chess. Set Top-p to 0.3, temperature to "
P02,gio_mode,2.3,1.1,Write a possible conclusion about a work on cast iron and its characteristics in
P02,t_decay,High,Low,Write a possible conclusion about a work on cast iron and its characteristics in
P02,e_spec,Medium,Low,Write a possible conclusion about a work on cast iron and its characteristics in
P02,v_volatility,High,Medium,Write a possible conclusion about a work on cast iron and its characteristics in
P03,gio_mode,2.1,3.1,1. Starting from the information from Lachman (2004) - development in midlife an
P03,i_gap,Low,High,1. Starting from the information from Lachman (2004) - development in midlife an
P03,e_spec,Low,High,1. Starting from the information from Lachman (2004) - development in midlife an
P04,gio_mode,1.3,2.2,Write an extensive and a comprehensive 100% unique constructive updated guide fo
P04,v_volatility,Low,High,Write an extensive and a comprehensive 100% unique constructive updated guide fo
P04,gn_level,High,Medium,Write an extensive and a comprehensive 100% unique constructive updated guide fo
P05,gio_mode,2.3,1.3,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,t_decay,Medium,Low,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,e_spec,Low,High,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,v_volatility,Low,High,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,gn_level,Medium,High,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,retrieval_judgment,No,Yes,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P05,confidence,3,4,"In this kinky script, Essex women Jo and Steph are chatting, laughing, with thei"
P06,gio_mode,2.1,3.2,why builidng positive relationship with parents can enhance open communication o
P06,i_gap,Low,Medium,why builidng positive relationship with parents can enhance open communication o
P06,t_decay,High,Medium,why builidng positive relationship with parents can enhance open communication o
P06,gn_level,High,Low,why builidng positive relationship with parents can enhance open communication o
P06,confidence,3,2,why builidng positive relationship with parents can enhance open communication o
P07,gio_mode,2.2,1.1,"Give 20 categories of Flower arm tattoos in html h3 headings. For each category,"
P07,e_spec,High,Low,"Give 20 categories of Flower arm tattoos in html h3 headings. For each category,"
P07,v_volatility,Medium,High,"Give 20 categories of Flower arm tattoos in html h3 headings. For each category,"
P07,gn_level,High,Low,"Give 20 categories of Flower arm tattoos in html h3 headings. For each category,"
P07,confidence,2,4,"Give 20 categories of Flower arm tattoos in html h3 headings. For each category,"
P08,gio_mode,3.1,2.3,Write quotes from Hazbin Hotel
P08,t_decay,Medium,High,Write quotes from Hazbin Hotel
P08,e_spec,Low,High,Write quotes from Hazbin Hotel
P08,v_volatility,Medium,Low,Write quotes from Hazbin Hotel
P08,gn_level,Low,Medium,Write quotes from Hazbin Hotel
P08,confidence,2,1,Write quotes from Hazbin Hotel
P09,gio_mode,3.1,2.3,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,i_gap,High,Low,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,e_spec,Medium,Low,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,v_volatility,High,Medium,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,gn_level,Low,High,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,retrieval_judgment,No,Yes,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P09,confidence,4,3,"Write a story about a cartoon everyone hated, one boy feels immensely guilty for"
P10,confidence,4,3,"Write dialogue from a scene from the animated teen “Jane”, where 14 year old Jan"
P11,i_gap,Low,High,write a letter to Western Dental advising them to discontinue time and collectio
P11,t_decay,High,Medium,write a letter to Western Dental advising them to discontinue time and collectio
P11,e_spec,Medium,Low,write a letter to Western Dental advising them to discontinue time and collectio
P11,v_volatility,Medium,High,write a letter to Western Dental advising them to discontinue time and collectio
P11,gn_level,High,Low,write a letter to Western Dental advising them to discontinue time and collectio
P11,retrieval_judgment,Yes,No,write a letter to Western Dental advising them to discontinue time and collectio
P11,confidence,4,3,write a letter to Western Dental advising them to discontinue time and collectio
