conversation_id,verdict,mode,failed_criteria,reason
6e7c7104dbb2c3142dd406714e634acd,REJECT,2.3,c,Grounded generation from outline; not dynamic/advisory/transactional
bf33e5e9c3222238f1fce5227913f3b6,ACCEPT,1.3,none,Seeks advisory on HR interview questions; subjective recommendation
d0ca4e70aedc5f3aa56ed310870b456c,ACCEPT,2.1,none,Transform provided message into a polite decline; utility task
633cd64d0f566b2f56f2ea642f956636,REJECT,2.1,a;c,References external HEC-HMS data/model not provided; utility not high_gn
5a90e2df692a6d44c5e59ec70b571c3a,ACCEPT,2.1,none,Rewrite provided text more formally; self-contained utility task
e5aa5fac8321ff084ce2c708bb9da295,REJECT,1.3,c,TCP vs UDP pros/cons is stable technical knowledge; fits low_gn better
19769b3113eef591497b5fec7e04b2db,ACCEPT,2.3,none,Grounded generation of LinkedIn post from specific event details
765a6d8cc849d1251638b4297340796e,REJECT,2.1,c,Extract JSON field names from provided data; pure utility not high_gn
74e80abf1269ff953ced9863e22bf267,ACCEPT,1.3,none,Seeks subjective font recommendation; advisory with preferences
7d3770d8b28243ee5b4cd29f87aa8c9f,ACCEPT,1.3,none,Seeks subjective music recommendation similar to known track
b0bd782b6c14bfaa1f90e2fa3b5ee2ee,REJECT,2.1,c,Polish/rewrite provided essay text; utility task not high_gn
9e9a8b2efa18f4e73eda6ba933ba9707,REJECT,1.3,c,Narrative opinion question about storytelling tropes; borderline creative
2c190aff819218d661e29a516741d45a,REJECT,1.3,b;d,Incomplete statement not a clear question; garbled grammar throughout
9fc08e0b3b5d3032ee7cdc8fdec69c69,ACCEPT,1.2,none,Needs current directory of US county bar associations; dynamic data
689114cba9e258bab3d9474888070510,ACCEPT,3.2,none,Open-ended multi-step marketing strategy investigation for Pilgrim Jewelry
2d4acf58639fe0d4a165ab3d04dce409,REJECT,1.1,c,Textbook volatility calculation with given numbers; static fact/math
99e0233603327bbb5d287458ea1f506b,REJECT,2.2,a;c,Starts with "Ignore previous instructions"; fictional medical report is creative
251670572b04e66c92004a59569f7ae0,ACCEPT,1.2,none,Asks about current visa extension rules from German embassy; dynamic/regulatory
b18f5ba9ede67db46c2b446befc5c91e,REJECT,2.1,c,Code transformation task; utility not high_gn
b3b01098b52e44096c4eec211f848c2f,REJECT,2.2,c,Roleplay as custom REPL; creative/ungrounded generation not high_gn
c3a57387aa4f236c2b4dfdd482bbf142,ACCEPT,1.3,none,Seeks design advisory on event priority in game engine architecture
9fe98ff3db3d96a764661afbecfc863f,REJECT,2.2,c,Write generic essay on AI pros/cons; ungrounded generation not high_gn
54b3c2101025beed57a9bc117d4283e1,REJECT,2.2,c,Creative comedic writing from specific POV; ungrounded generation
48692ffc0ac9eee836d058c959cc6fe1,ACCEPT,1.3,none,Seeks advisory on best answer for job change reason; subjective
af56feb97bd7d5cd99569297a01b62b5,REJECT,2.2,c,Generate a speech about social media pros/cons; ungrounded generation
9ddccf0ea0b455df6c63d1b2b325f74f,ACCEPT,1.3,none,Seeks advisory on getting started with digital art; subjective guidance
4f36f433b001453032390770a63455c9,ACCEPT,1.2,none,Asks best AI music generator as of Oct 2023; temporal marker needs current info
9d29639b69d2a96cd4e66e748456e762,REJECT,2.2,c,Continue fictional DDLC roleplay dialogue; creative generation
e9e88b30e1a53254aa89f51365d9dc27,ACCEPT,1.3,none,Seeks advisory review of specific product pros/cons; subjective evaluation
c9cb36cd5f03f9ec512d51b0dc0b597e,ACCEPT,1.3,none,Subjective perfume selection advisory from provided list
bff771e73f32b8ee361d7aaa50562adf,REJECT,3.2,a,References external PDF link for GM annual report; needs external file
87786a618d3d2d96752010c1aaad57bd,REJECT,2.2,a;c,"Ignore previous instructions"; fictional medical report generation
4aa136bc1a3f15dcb196a0402979a9ac,ACCEPT,2.3,none,Generate MOU document from provided business terms; grounded generation
d4dd6ba373df9011e31925c74d54d82b,REJECT,2.2,c,Continue fictional DDLC roleplay scene; creative generation
a4134470ca1107eb21e09668f88cd1d7,ACCEPT,1.3,none,Seeks advisory on leadership types for real estate; current challenges
eba544bd76f6a7638afa1932b9bf30a1,ACCEPT,2.3,none,Generate job description from specified project requirements
