conversation_id,verdict,mode,failed_criteria,reason
fef30bc60d7295670570492b9781eb61,ACCEPT,2.2,none,Self-contained creative love letter writing task
53d4ba20f7d05c3df250131bd48bfccc,ACCEPT,2.2,none,Detailed creative anime scene writing prompt
da0ca4a864a072377d8e5592d507e40c,ACCEPT,2.2,none,Self-contained creative story request about high school
75593d5cb5d2648add1b909bad9aed81,ACCEPT,2.1,none,Utility code generation task; write Java for user input
52bb69fda1927643f948ded55a5aee31,ACCEPT,2.2,none,Creative story prompt from a given dialogue line
95a968d5633bc8c6d77f286623572eb9,ACCEPT,2.2,none,Creative slide content generation with translation task
6b0afcb1c1716692c65262f56d24f042,REJECT,2.1,a,References "the sent text" which is missing from the prompt
5a2e284263068bc354c0af9dd17c804b,ACCEPT,2.2,none,Self-contained creative story prompt with full scenario
8dce5746b800773007ccd5a63bd40d44,ACCEPT,2.1,none,Utility code generation: Python bot using mcstatus API
8e8174d86e54ffeda84614fdad2858e9,ACCEPT,2.2,none,Creative scriptwriting for a fictional podcast episode
0efd12a4b22e83197eb65da000b69e82,ACCEPT,2.1,none,Utility code generation: HTML report + AWS Lambda script
996c8422c554e7170b3239f5e69a3262,ACCEPT,2.1,none,Utility task: write AppleScript to open Finder window
118de027b212c9bb526b9427589276c7,ACCEPT,2.1,none,Utility code generation: Go SSH app with spec requirements
4662641fae998bb0b11b56a064752d99,ACCEPT,2.2,none,Creative writing: compose 10 tweets about sunrise
9df3ac9019960d92dc875f938bfb7eba,ACCEPT,2.1,none,Utility task: generate competitive Stack question with solution
1b53f60534a8a6a3dc8b3d325db5f9e6,ACCEPT,2.2,none,Creative story writing with detailed scenario instructions
ff6c8b25c9ba074a7aaf6877274b5fcf,ACCEPT,2.2,none,Creative SCP-style interview log writing prompt
2d97d154133051b9b8deeaf9d614f342,ACCEPT,2.2,none,Creative alternate-history hypothetical scenario
8ece9ab88cfb2e926211e7b7607d85de,ACCEPT,2.2,none,Creative structured novel chapter generation in JSON format
e1e038de9ea0ae5bcbe9cb9e1e6cc89a,ACCEPT,2.1,none,Utility code generation: VBS script with TTS and dialog
384559630dfd7f42bc1fd53b619f875e,REJECT,1.3,c,Seeks subjective career advisory; belongs in advisory block
d8d40992c6ff5f935fb8900fbe39c784,ACCEPT,2.2,none,Creative sports fiction story with detailed scenario
ba28f3a9ecff6dea0028a7e0a307a74a,ACCEPT,2.1,none,Utility code generation: HTML/JS/CSS date slider widget
3e7bf9700d7d38282d6c470f76b6b021,ACCEPT,2.1,none,Utility reasoning puzzle: grid movement tracking task
4a27fbba2b9bc8beb6e69cd997853477,ACCEPT,2.2,none,Creative alternate-origin story for a fictional character
8093b1cdcbcf538a465d5ddddb316934,ACCEPT,2.2,none,Creative alternate-history: fictional 1984 NBA season
8a7277eac5d61ae114193aae19c8a950,EDGE_CASE,1.1,b,Likely AI-generated gibberish lyrics; unclear if real song identification possible
0d7e986a9c1021c72b115916c8cb071e,ACCEPT,2.2,none,Creative story writing: man falls in love with slime girl
ae552ca34dff3fbd209f02692879b00c,ACCEPT,2.2,none,Creative listicle article generation on survey tools
e0450e7f929278b145479dcf054f483c,ACCEPT,2.1,none,Utility code generation: Delphi isometric shooter game
f608d3afa8489ae5c7fb1ec10fdbae4f,REJECT,2.2,c,Asks for "current and up to date" info on Ethereum; needs live data
62eeed3852fb8a5e776146a7cb426df9,ACCEPT,2.1,none,Utility task: grammar check of a given English sentence
dca29a5a16f0b909652be17a202a5e5c,REJECT,1.2,c,Asks about current software availability; needs real-time info
14d624c1478ddc203d82d7057fe96bd9,ACCEPT,2.1,none,Utility math problem: compute biking distances
cba6d1f67bba0662891724c4ab91a86e,ACCEPT,2.2,none,Creative essay writing on personal values
3e8cf9c6c28e6d0fc87f928d2a25cff5,ACCEPT,2.1,none,Utility code generation: alphabet character encoding system
b8031a416fde18097bbc8f3a24c9ca22,REJECT,1.1,a;d,Incoherent fragment; just lists database terms with no question
83d078136b22c4e42c4cb41297f98e29,ACCEPT,2.2,none,Creative fan-fiction scene: Arya and Daenerys mask
32884222f2af75a1cea2edbe9fad3b7d,REJECT,1.3,c,Requests personal dietary advisory plan; belongs in advisory block
24bea68a4b8fa7bed5abb4cdbb6f31a0,REJECT,2.1,a,References "the following" content which is not provided
9b5f7d424eb1711082e69a604b08a1d2,ACCEPT,1.1,none,Factual request: list 30 dinosaur names with pronunciations
bb4f922fbfb7f3c31bfc4eaee8c39d32,REJECT,2.3,c,Requires real research sources and citations; grounded generation
6bf4093ac7e059da594ed5baefc5b3f7,ACCEPT,2.2,none,Creative fan-fiction story with detailed scene directions
1050c7c05a520b38a51c9e7f4c178b50,ACCEPT,2.2,none,Creative script: fictional football team with Lakers players
1e777e22e33497f6ac3bc414b5dd960e,ACCEPT,2.2,none,Creative story writing about sentient pink slime
218881f974024c3f329c0f7569e8a175,ACCEPT,2.1,none,Utility code translation: C++ to C string array conversion
ebf2e49c0a9299fbf5dfe9306dc18c06,ACCEPT,2.2,none,Creative short story with specific scene and dialogue
44927d4c2b2697a1e235915a9517cd3d,ACCEPT,2.2,none,Creative website copy generation for fictional switchover
3ca0cf3d2afcbf873fb206cef85e9edc,ACCEPT,2.1,none,Utility code generation: Python pygame platformer game
3a068cc283854a7a1b02c23f3391e047,ACCEPT,2.2,none,Creative descriptive writing about coffee shop ambiance
2fbe04891568f85fab8fc515e657ae1e,ACCEPT,2.1,none,Utility text rewriting: improve a given message
d75a11c562bd38a6cd0a05c0e7c3ded0,ACCEPT,2.1,none,Utility translation: English sentence to Japanese
4f53be5c23595bf70579009c61b0586d,REJECT,2.2,c,Asks for "current and up to date" Venice travel info; needs live data
6d47b64551da9f2dc3da3b0c11c9e32f,ACCEPT,2.1,none,Utility code generation: Python zip-file S3 upload pipeline
cacdc6cd985051a45d6540f8206e2cc5,ACCEPT,2.2,none,Creative fan-fiction: Gendry and Arya sibling relationship
41f463d3e3826e6954c2b8b7caafb6be,ACCEPT,2.2,none,Creative list generation: Photoshop how-to request ideas
11e39420a063d43c5dd8182ff478fd74,ACCEPT,2.1,none,Utility translation: Arabic real estate term to English
d9cfa3cd7cc13a7e1642c770e452e465,ACCEPT,2.1,none,Utility code architecture: multi-modal model design guidance
844c227139e461dc0fb5479525d44c52,ACCEPT,2.2,none,Creative text generation about Niasvizh castle Belarus
4d99ff6bc7d9ba30966910b6f0cd4fcd,ACCEPT,2.2,none,Creative scriptwriting: PSA video about tobacco harms
5125df4f8860cf6a41626db9ec75116d,ACCEPT,2.2,none,Creative dialogue writing for animated teen show scene
40c7d4cb193ed0f5647c929cd3690481,ACCEPT,2.2,none,Creative song lyrics in specific anime composer style
678f8c360687f5d09de2e2cb260b07ee,ACCEPT,2.1,none,Utility text rewriting: make sentence stronger and emotional
589eabf624276a39a121c588b1b901be,ACCEPT,2.2,none,Creative corporate-style answer writing for interview question
