conversation_id,verdict,mode,failed_criteria,reason
73c194646e2feca587ab846be764d56e,ACCEPT,2.3,none,Creative rephrase with visual cues; embedded source text present
aad3f764164646d15cbad23e79b45367,REJECT,2.1,c,Embedded source too short (~10 words); simple paraphrase is utility
40cf7026ebb63b5ad2ea91f3b1d3da8f,ACCEPT,2.3,none,Rewrite of substantial embedded scientific text; grounded generation
cc60a3252a5eafdfd615bd80f0218ea7,ACCEPT,2.3,none,Rewrite embedded text for grammatical accuracy; source present
9e0e53d0c056e65f6c0a6346bc0eeb3c,REJECT,2.1,c,Very short embedded text (~13 words); simple paraphrase is utility
cd4c7aca09e1707cb172cdb71c57597f,ACCEPT,2.3,none,Describe and discuss embedded research phases; creative generation
a20d79c9a06cedd07ed641259072e952,REJECT,2.1,c,Very short embedded text (~14 words); simple paraphrase is utility
adcf61b26dbe7ca9ce31faba97eab852,ACCEPT,2.3,none,Rewrite substantial embedded business text as native English
236ef7afb35c3c69c67478cdcd2a6395,ACCEPT,2.3,none,Proofread embedded email with professional perspective; creative polish
e1125ac721818e0780bcd40b252e1c3b,REJECT,2.3,"a,c",References external URL without embedding source text
e42b3bab6cbdae77b8401d580a1b1079,ACCEPT,2.3,none,Paraphrase substantial embedded academic text on chemical processes
2d72c20eee2e3c33efbe134d8077d593,ACCEPT,2.3,none,Analyze embedded passage with critical commentary; grounded generation
45922be16512b1e2dabfb9d51d68ce9f,ACCEPT,2.3,none,Paraphrase embedded sentence about hiring process; source adequate
703630df97253cf4760d04b2582eb175,REJECT,2.1,c,Very short embedded text (~16 words); simple paraphrase is utility
f833ba3fb9a262f618560bc1ea7ed19f,ACCEPT,2.3,none,Rewrite embedded joke to be funnier; creative generation from source
03a16460635d319a6032620f9a69505b,ACCEPT,2.3,none,Analyze embedded linguistic example using van Dijk model
9fcceb8a53405bc6fbeb90bbc14bc4d7,ACCEPT,2.3,none,Rewrite embedded technical sentence; source text adequate
c86673861f48b5f5173223ea83a1d26a,ACCEPT,2.3,none,Rewrite embedded paragraph to sound motivating; creative generation
11f4b68f9cae6fffc78062f2ea0e4552,REJECT,2.1,c,Embedded text too short (~8 words); simple paraphrase is utility
3c74b25911f4e802fb38d4356dcc770c,ACCEPT,2.3,none,Paraphrase embedded academic sentence; source text adequate
d51d2307c1e3bbfc43ccdc92a9928f65,REJECT,2.2,c,Creative fiction writing; embedded sign text is not real source material
e8e249fbc6217a7703bb2545ba37111b,ACCEPT,2.3,none,Rewrite embedded research sentence in academic style; grounded gen
4c6055b76358632e0e3cd80ebb31ffbb,ACCEPT,2.3,none,Simplify embedded literary excerpt; creative rewriting task
cc618167e6c33c6f2f62d50703a98d9e,ACCEPT,2.3,none,Rewrite embedded scientific text more professionally; grounded gen
b0505826b38e803ecc9841b69ecb1379,ACCEPT,2.3,none,Rewrite substantial embedded Genesis commentary; grounded generation
