conversation_id,verdict,mode,failed_criteria,reason
10ac2ee41788dc13552cd7b6f68462bb,ACCEPT,1.3,none,Seeks subjective guidance on coping with a breakup
0ffba952a42454d2cd9d309f06ad8b33,ACCEPT,1.3,none,Asks for advisory suggestions on study break activities
563c8eaf4ec9e25da42ad96ab05d55a0,ACCEPT,1.3,none,Seeks troubleshooting advice for captcha/blocking issues
b6af1588b9269fa70643e69f3c59d5a9,ACCEPT,1.3,none,Seeks health advisory on worrying symptoms after injury
ba47b377368ee51334bb57ab15ea0b59,REJECT,1.1,c,Factual question about earbud usage not subjective advisory
08079dcfac851a0569743c17178c764c,ACCEPT,1.3,none,Seeks step-by-step advisory on updating Puppy Linux
165a28d0a63e41eea4ebb1b22ba826a9,ACCEPT,1.3,none,Asks for tool recommendation which is subjective advisory
c61f2699b31063e059225bcf26e97705,EDGE_CASE,1.3,none,Technical advisory but answer is largely factual with one correct strategy
3e86a2d9a2a0ad2db44ebb43241d2a29,ACCEPT,1.3,none,Seeks personal lifestyle advice on improving sleep habits
07ee78c7dad98147768a4755deb7c5c4,ACCEPT,1.3,none,Asks for opinion on AI/robots threat -- classic advisory prompt
49dc94dcc3479f01a7d42c286a00bfd6,REJECT,3.2,b;c,Open-ended software architecture investigation not advisory
4fb719f4a871f0fae487d4e5a31b9106,EDGE_CASE,1.1,c,Asks what to do but answer is a specific technical fact
5ff05059a55aae651cffb388a174691f,ACCEPT,1.3,none,Asks best practice opinion on NestJS error handling
240485e8bc01d6aa6cb2b140b310c57b,ACCEPT,1.3,none,Seeks subjective suggestions for boredom at home
a265174a6aa3df66373ba84aecda7257,ACCEPT,1.3,none,Seeks career advisory on handling pressure after movie success
ab7ade6f566eb483f1bf7aecc6f60f97,EDGE_CASE,1.3,c,Opinion request on person but could be factual biography
7bfbd7258d4cfe3a7e4b86f4d94548e0,ACCEPT,1.3,none,Seeks strategic career advice on quitting without next job
e09e41d6d745d4ddc09c6fdde56f1a63,REJECT,2.1,b;c,Primary task is grammar correction (utility) not advisory
655d72f27a802c17b7b515f9be8abeff,REJECT,2.3,a;b;c,References external email thread; task is drafting reply not advisory
fc9ee7f77d687d017f2d2403d7d33993,ACCEPT,1.3,none,Seeks advisory on practical problem-solving with paint colors
f771a8d651c9e01006e4e73bad067686,ACCEPT,1.3,none,Seeks advice on study strategies when struggling alone
4123b7448021f0594780459ded61c56f,ACCEPT,1.3,none,Seeks business startup advisory on launching jewelry brand
d7ca0e9475f3766babc483069c4e7a0e,REJECT,2.2,b;c,Creative fiction roleplay continuation not advisory
450c279bacdff3dca3f6cc1840f8a7c5,ACCEPT,1.3,none,Asks for subjective opinion on a specific video
766f635890de6dbd3343a13f069e0797,REJECT,1.1,c,Factual cooking measurement question not subjective advisory
bb4554bf95143b6757f8e5209eb8b398,EDGE_CASE,1.3,none,Opinion-seeking in DE but trivial joke-like self-assessment
49eb9c9433d05c5c095cfae3c41ae846,ACCEPT,1.3,none,Asks for recommendation on IP ranges for home network (DE)
3ee45ff97e537fe85333c603dd0cb43f,ACCEPT,1.3,none,Seeks expert advisory on post-layout simulation steps
57511b93b19b19118397a1d38e5b48c2,ACCEPT,1.3,none,Asks for keyword recommendations which is subjective advisory
fd1495195bf3cc3cb3fc32763703150d,REJECT,2.2,b;c,Primary task is writing email to doctor team not advisory
3db7f4cf383e07adeae51c0cb788f477,ACCEPT,1.3,none,Seeks advisory on what to do when lost in cornbelt
378b5bed8d1faf401cadb730d703532a,EDGE_CASE,1.3,none,Mixes opinion query with technical troubleshooting; borderline 1.1/1.3
06a2432314b5800aceffb0a81c1fe1df,ACCEPT,1.3,none,Seeks strategic career advisory on navigating long notice period
16a39e298f23ee91e931f03367c94675,ACCEPT,1.3,none,Seeks interpersonal communication advice on giving criticism
0852f0064f248ea3124b1ea42f110f2d,REJECT,2.1,b;c,Translation task (utility) not advisory
c57d522af877a6e573a43b47b7ef3f80,ACCEPT,1.3,none,Seeks troubleshooting advice on vape coil saltiness issue
2bfed03c62f4b1b1b84b0750a7c85143,ACCEPT,1.3,none,Seeks recommendations for post-KDE-install setup steps
913e7bceb450d8290e5e0e2f37312024,REJECT,1.1,c,Factual technical explanation of static keyword not advisory
7f8653aca97aa6537092c646ccee9105,REJECT,2.2,b;c,Creative fiction roleplay continuation not advisory
74df5e62ec88f6deea122a3eaee596a3,ACCEPT,1.3,none,Seeks advisory on building static site on GitHub with JS
2fe08a471d05b2b23c78064a996a59be,ACCEPT,1.3,none,Seeks subjective suggestions for productive screen-free time
dcc3e5ed044f6a0e8a5afe664c4c7b91,REJECT,2.2,b;c,Content generation task for travel guide not advisory
413de48d40095e4ad4be9675c9e06404,ACCEPT,1.3,none,Seeks chess strategy advisory for specific game position
03659486814990d2aaebd53896ba55da,ACCEPT,1.3,none,Seeks practical advisory on dealing with trapped-in-room situation
3288ab3671c06e86adbd9b4717e202c3,ACCEPT,1.3,none,Seeks interpersonal emotional support advisory
951af5c5cf7acadff792fafe7db60312,ACCEPT,1.3,none,Asks for opinion on Dalai Lama AI consciousness claim
e37db20a7e5c5ad54a5f98ee88423d67,ACCEPT,1.3,none,Seeks medical advisory on contraceptive use decision
1257cb78d71a35199c8b367b969ffdb6,EDGE_CASE,1.3,b,Advisory plus generation request for training program; dual mode
36ef9ec4304960a8d91d9824efcacbae,EDGE_CASE,1.3,c,Opinion-seeking but extremely trivial; weak advisory signal
a086c98970e253f4cd0b1e7fb0b9514e,ACCEPT,1.3,none,Seeks investment advisory on stock selection
7ea5728b83a55c1d7eda5def0f2a0a86,REJECT,2.1,b;c,Primary task is editing an email (utility) not advisory
f955e20f8d9659d4c0235fdbf85ffeb2,ACCEPT,1.3,none,Seeks investment advisory on stock selection
d97acdbf3284a1b05ebcdaff25829963,REJECT,unclear,a;b;c,References previous conversation; meta-question not advisory
7482c2f9b84729ed7b14e084efe0541c,ACCEPT,1.3,none,Seeks opinion on health/fitness philosophy claim
3c299914b53dab1c038d83a091ce56f4,ACCEPT,1.3,none,Seeks advisory on managing screen time impact
f88a6decb6805657aa4264755124e20e,ACCEPT,1.3,none,Seeks creative advisory on visual/stock footage choices
a49ddb07558e58fcac9965c0e2e3d624,REJECT,2.2,b;c,Roleplay persona request (gaslighter) not advisory
4c1c2c7c72aa0d9c21b6ea5a73db668f,ACCEPT,1.3,none,Seeks wellbeing advisory on burnout management
af23471c5e405e90c0a7323f5b1dd87d,REJECT,2.2,b;c,Travel guide content generation task not advisory
f94e0776d65f3e3efc5d3bb16e1c762f,ACCEPT,1.3,none,Seeks health advisory on daily moringa consumption
5d2d39ee2e2f27818699578b61f4fc9f,ACCEPT,1.3,none,Seeks advisory on dandruff treatment approach
a7ec85e119232880fc2c986884c333ac,EDGE_CASE,1.3,c,Is-it-safe phrasing but answer is largely factual not subjective
7b4e2111edb42117e60c43324b5cea3e,REJECT,2.2,b;c,Travel guide content generation task not advisory
e602b769d6cea9dacd4a04e0b7dda820,ACCEPT,1.3,none,Seeks troubleshooting advice for phone battery after drop
cfe9283cf39cd2e8bb7d38e4aea8ee09,ACCEPT,1.3,none,Seeks purchase advisory comparing internet card options
7f8046695eb62798b2ee0bbfabccefc9,ACCEPT,1.3,none,Seeks personal life advisory on relationships
21bad383b7d5e1e1e8c159b4b162e652,EDGE_CASE,1.1,c,Asks what type but answer is a factual product recommendation
eff0bdf0be2833d24bcdbe4cddb033e3,REJECT,1.1,c,Technical factual question about C API behavior not advisory
8c60a610d192e890a78b18e71f846eba,REJECT,1.1,c,Demands yes/no factual answer about traffic safety not advisory
0fa2ed178e64f92e3149a27ed1961be3,ACCEPT,1.3,none,Seeks opinion on Saturday running group idea (DE)
ef8b99e5ef6643c3076c473c2e9a4ccd,ACCEPT,1.3,none,Seeks career advisory on job options without degree
6459734fa671404eba4adaba4feef7c5,REJECT,1.1,c,Asks for specific ffmpeg command which is factual not advisory
a7e92f55e310ced7445db609985d803d,ACCEPT,1.3,none,Seeks advisory on whether cheap toothbrush is effective enough
da9d54e833032b9e5fb9a42e0950c742,ACCEPT,1.3,none,Seeks interpersonal advisory on blind date strategy
4dee0faa52c9579e49969f09e82cea04,ACCEPT,1.3,none,Seeks advisory on how to play MOTHER 3 legally in English
47446f499f4eea11c50abc82b48e925d,ACCEPT,1.3,none,Seeks game development advisory on 2D-to-2.5D approach in Godot
3fd73ec16668b0af7907de669a7cc92e,ACCEPT,1.3,none,Seeks existential/philosophical advisory on last day alive
c9fb2f7ef740e7a629960e70edcff6e4,ACCEPT,1.3,none,Seeks methodological advisory on sampling technique selection
21e2c9d9161083d777505eca2c9f1a45,ACCEPT,1.3,none,Seeks learning pathway advisory for guitar beginners
ff94cb17d48636b042e74be4bf056934,REJECT,1.1,c,Asks why use feature which is factual explanation not advisory
86d81973819443288b7300fe2737a79b,EDGE_CASE,1.3,c,Mixes factual explanation with should-I advisory; borderline 1.1/1.3
496902caff3f68d9eb6d27df43d00410,ACCEPT,1.3,none,Seeks academic writing advisory on literature review approach
8dd543d81ba18bb3a8c2ad1e844a9491,ACCEPT,1.3,none,Seeks platform recommendation advisory for selling software
680c612bd98680dea6d34b0412edb031,REJECT,1.1,c,Pure mathematical calculation question not advisory
ad159d5781539aa6040b7edbd5f47579,REJECT,2.2,a;b;c,References prior character; creative RPG generation not advisory
883c4222e014883c334dbd0dd5e9a29c,REJECT,2.1,b;c,Grammar checking task (utility) not advisory
d6203df67270c1751f938ae1bb8f7646,ACCEPT,1.3,none,Seeks technical advisory on running Python without pip install
0ed9b38d3189691a9eea260cbe77fce5,ACCEPT,1.3,none,Seeks subjective advisory on what to do with low motivation
86337773e8f3cd4709ce153313297365,ACCEPT,1.3,none,Asks for opinion on other chat AI systems
9b253b34e0a01a359aba7f259031aa7a,REJECT,1.1,c,Asks why use tiling WM which is factual comparison not advisory
42eb0816e9844fbfd2a09c0dbc1d9d61,ACCEPT,1.3,none,Asks for subjective opinion on a video game
140992bc5362d86e94c0e12e60fbad56,REJECT,2.2,b;c,Travel guide content generation task not advisory
7890e104e28edcabaa04a99ffd6e7f20,ACCEPT,1.3,none,Seeks troubleshooting advisory for WiFi connectivity issue
a8c1f97509029885b3f8d80c97019055,ACCEPT,1.3,none,Seeks workplace advisory on managing incompetent PM
