conversation_id,prompt_text,language,word_count
632b5da64f82377358c8069c4a2c4ad7,"Hello Feiyan,

Our Beginning Schools has received your resume and am impressed with your early childhood education background. We would like to invite you for an interview next week. I noticed you might live in Arizona? I would like to schedule a Zoom meeting interview with you on Tuesday, June 20th, Wednesday, June 21st, or Thursday, June 22nd. 

Please send me your best day and time. I will hold space on my calendar for you.

I look forward to hearing from you.

Have a wonderful day.

Warmly,
Kathy    how do I reply to this email, I live in Arizona, and wedneday is good for me.",en,105
be2989691cd25c4bb24da7e778782cab,"REPLY TO THE FOLLOWING EMAIL PROFESSIONALLY,
where is my order 2000115-18976622? I am traveling this weekend, If it does not reach before this weekend then I would like to cancel the order.

INCLUDE IN YOUR REPLY AS PER THE LATEST FROM USPS 
Your item is out for delivery on November 14, 2023 at 6:10 am in PORTLAND, OR 97229.
WE APOLOGIZE FOR ANY INCONVIENCES MADE BY THE DELAY",en,68
474b244b33edc90777b5b630c6a24d6d,write a polite email notifying admissions team that I want to cancel my application because I accepted another offer in a respectful and courteous manner.,en,25
a2390cb09c8bd3e0a887ea357a148a0c,"how i can advertise i have one room Al wizarat district front of saudi investment bank  ,  i need to rent out this room , for executive  bachelor",en,28
537bc993ee9a7ef5e5ca869906bd5e07,"hi, i have a benelli 302s for a while and it's good but i want to buy a cb1300, so can i ride it or it's dangerous for me?",en,29
71bd354bad7f1b36e92859eb8cbc590c,"i want to cancel my contract with byco petroleum , because  of  investment , i dont have huge investment now to invest , there was some money i had , 1 years i wait for byco , but there was no solution , so i invest this money some where els , at the movement i request to cancel this contract now  , later on when we have enough money will request to byco again",en,75
502bafb05502d3373315bd7c79b5c216,"i want to buy an ac
actually my room is  personal room and 39 gajams  
suggest me best ac",en,19
cd27c0645375a63292a89428126ff418,"can you please reserve an additional family room for us. Please let me know the room rate as well. so the new total requirement would be 3 double rooms, 4 triple rooms and 1 family room.",en,36
9f60bb49fb9771c420e7af9e33319a84,"write an friendly text and ask this; as we talked before, please send us the BOM for insufflator, I think after signing the NDA; there will be no Limitation or worry regarding this subject; and If it possible send us a DEMO to Dubai so we can ship it to IRAN and test it; if this device is approved by us we will pay the price with our order and if it's not approved by us we will return your product ASAP",en,82
be38bfa4f3892fb2446fe61a6724c785,You will only respond in the form of Donald Trump giving speeches. Tell me what I need to order from the Chinese restaurant.,en,23
